epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2166.18,0.40665,0.24332,0.79358,0.86488,0.86642,0.88915,0.44151,1.77316,0.95773,1.47729,0.000570221,0.000570221,0.000570221
61,2202.1,0.39834,0.24248,0.78996,0.8537,0.85587,0.89027,0.44746,1.78972,0.99774,1.4772,0.000561055,0.000561055,0.000561055
62,2238.07,0.40732,0.24399,0.79105,0.86811,0.85016,0.88292,0.44296,1.77436,0.99585,1.46779,0.000551889,0.000551889,0.000551889
63,2274,0.39452,0.23971,0.79058,0.87682,0.83648,0.88139,0.4417,1.77204,0.97558,1.46207,0.000542723,0.000542723,0.000542723
64,2309.96,0.40438,0.24062,0.79051,0.85367,0.84527,0.86977,0.43854,1.76544,1.0107,1.47712,0.000533558,0.000533558,0.000533558
65,2346.16,0.39133,0.23681,0.78901,0.88844,0.83998,0.89459,0.44747,1.78667,0.97867,1.48778,0.000524392,0.000524392,0.000524392
66,2382.55,0.38278,0.23447,0.78906,0.87658,0.85954,0.88644,0.44321,1.77585,0.96167,1.48305,0.000515226,0.000515226,0.000515226
67,2418.68,0.37467,0.22963,0.78655,0.87329,0.85998,0.88113,0.44538,1.77309,0.96126,1.4777,0.00050606,0.00050606,0.00050606
68,2454.58,0.3727,0.22991,0.78646,0.88532,0.83748,0.87821,0.43446,1.7735,0.98873,1.47873,0.000496895,0.000496895,0.000496895
69,2490.51,0.37343,0.22697,0.78786,0.90618,0.83017,0.89562,0.44989,1.77386,0.95841,1.48242,0.000487729,0.000487729,0.000487729
70,2526.39,0.37559,0.22998,0.78739,0.8924,0.82472,0.89632,0.45369,1.78652,0.9754,1.47343,0.000478563,0.000478563,0.000478563
71,2562.35,0.37691,0.23165,0.7868,0.89017,0.81976,0.88704,0.45038,1.77289,0.95796,1.4819,0.000469397,0.000469397,0.000469397
72,2598.33,0.37408,0.22975,0.7864,0.90414,0.82044,0.88561,0.43806,1.77943,1.00674,1.48064,0.000460232,0.000460232,0.000460232
73,2634.23,0.35886,0.22382,0.7846,0.87415,0.85276,0.89502,0.44794,1.77473,0.93574,1.50186,0.000451066,0.000451066,0.000451066
74,2670.18,0.35433,0.22289,0.78285,0.87849,0.83765,0.89276,0.44733,1.783,0.98068,1.4979,0.0004419,0.0004419,0.0004419
75,2706.44,0.3666,0.22537,0.78529,0.8828,0.84645,0.89396,0.43442,1.76957,0.9744,1.48227,0.000432734,0.000432734,0.000432734
76,2742.74,0.35783,0.2207,0.78355,0.87028,0.85295,0.88484,0.44603,1.76539,0.98597,1.47975,0.000423569,0.000423569,0.000423569
77,2778.88,0.35297,0.21832,0.78253,0.86686,0.83894,0.88757,0.44677,1.76765,0.98953,1.47062,0.000414403,0.000414403,0.000414403
78,2814.8,0.35237,0.21881,0.78173,0.87999,0.85642,0.88755,0.43589,1.77995,0.98998,1.49438,0.000405237,0.000405237,0.000405237
79,2850.75,0.35177,0.21843,0.78225,0.86252,0.86264,0.8928,0.45553,1.7738,0.98162,1.50328,0.000396071,0.000396071,0.000396071
80,2886.61,0.34266,0.21345,0.78232,0.89259,0.83699,0.89352,0.45013,1.7721,0.97004,1.49187,0.000386906,0.000386906,0.000386906
81,2921.91,0.34671,0.21565,0.78296,0.88367,0.8493,0.89495,0.43961,1.7853,0.96501,1.50567,0.00037774,0.00037774,0.00037774
82,2957.2,0.3364,0.2104,0.78064,0.88277,0.84608,0.89491,0.45934,1.7675,1.01737,1.5041,0.000368574,0.000368574,0.000368574
83,2992.49,0.33219,0.20894,0.77982,0.8746,0.87052,0.89939,0.46166,1.76115,1.00636,1.50118,0.000359409,0.000359409,0.000359409
84,3027.82,0.32898,0.20745,0.78051,0.89115,0.83907,0.89067,0.44599,1.77932,0.99454,1.51026,0.000350243,0.000350243,0.000350243
85,3063.45,0.31847,0.2047,0.77786,0.88569,0.84228,0.9008,0.45456,1.77057,0.98034,1.50168,0.000341077,0.000341077,0.000341077
86,3099.17,0.32266,0.20537,0.77858,0.87948,0.84405,0.89935,0.45274,1.77689,0.98696,1.50957,0.000331911,0.000331911,0.000331911
87,3134.86,0.32681,0.20831,0.77879,0.85559,0.86836,0.88975,0.44482,1.7743,0.97539,1.50955,0.000322745,0.000322745,0.000322745
88,3170.14,0.32522,0.20464,0.77925,0.85583,0.86373,0.88902,0.4502,1.76665,1.00742,1.51397,0.00031358,0.00031358,0.00031358
89,3205.5,0.31795,0.203,0.77836,0.85622,0.86324,0.89074,0.45025,1.77986,1.02392,1.51036,0.000304414,0.000304414,0.000304414
90,3240.74,0.3138,0.19909,0.77705,0.85548,0.88043,0.90022,0.45813,1.76602,0.99709,1.50584,0.000295248,0.000295248,0.000295248
91,3276.04,0.30637,0.19558,0.77583,0.87187,0.86576,0.90083,0.45869,1.76678,1.00263,1.50538,0.000286083,0.000286083,0.000286083
92,3311.4,0.30396,0.19453,0.7766,0.88898,0.84585,0.89989,0.45519,1.77286,1.00765,1.50206,0.000276917,0.000276917,0.000276917
93,3346.66,0.30525,0.19507,0.77637,0.87896,0.84773,0.9011,0.45968,1.77143,0.99571,1.50949,0.000267751,0.000267751,0.000267751
94,3381.87,0.30765,0.19605,0.77563,0.87589,0.86043,0.90204,0.4562,1.77929,0.98527,1.50565,0.000258585,0.000258585,0.000258585
95,3417.45,0.30015,0.1945,0.77594,0.87366,0.87255,0.9019,0.45643,1.76536,0.96447,1.5012,0.00024942,0.00024942,0.00024942
96,3453.28,0.30245,0.19556,0.77638,0.87362,0.87508,0.90605,0.45719,1.76859,0.95274,1.5026,0.000240254,0.000240254,0.000240254
97,3488.97,0.29639,0.19184,0.77668,0.88705,0.86208,0.90257,0.4536,1.77086,0.98972,1.50897,0.000231088,0.000231088,0.000231088
98,3524.31,0.29605,0.19093,0.77465,0.88475,0.86346,0.90937,0.46637,1.77132,0.97589,1.52115,0.000221922,0.000221922,0.000221922
